Title,Category,SubCategory,Frequency,ParentExists,Child,Discontinued
CPI - Potato (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Powder, snow, cream, lotion and perfume (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Prepared meals, Snacks, Sweets etc. (2012 series)",Inflation,CPI,Monthly,Y,Y,N
"CPI - Prepared meals, Snacks, Sweets etc. (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Prepared meals, Snacks, Sweets etc. (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Prepared sweets, cake, pastry (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Pressure cooker/ pressure pan (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Private tutor/ coaching centre (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Pulses and Products (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Pulses and Products (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Pulses and Products (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Radio, tape recorder, 2-in-1 (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Radish (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Ragi & its products (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Railway fare (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Raisin, kishmish, monacca, etc. (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Recreation and Amusement (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Recreation and Amusement (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Recreation and Amusement (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Refined oil [sunflower, soyabean, saffola, etc.] (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Refrigerator (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Residential building & land (cost of repairs only) (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Rice - other sources (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Rice - PDS (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Rickshaw (hand drawn & cycle) fare (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Rubber / PVC footwear (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Rug, blanket (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Salt (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Sanitary napkins (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Saree (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Sauce, jam, jelly (gm) (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - School bus, van, etc. (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - School/college uniform: boys (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - School/college uniform: girls (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Sewai, noodles (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Sewing machine (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Shaving blades, shaving stick, razor (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Shaving cream, aftershave lotion (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Shawl, chaddar (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Shirts, T-shirts (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Shorts, trousers, bermudas (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Silver (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Singara (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Small millets & their products (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Snuff (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Spectacles (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Spices (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Spices (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Spices (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Sports goods, toys, etc. (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Stainless steel utensils (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Stationery, photocopying charges (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Steamer, boat fare (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Stove, gas burner (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Sugar - other sources (2012 series),Inflation,CPI,Monthly,Y,N,N
